Well	saveBeats	includeBeats	topSelect	cutoff	noiseCutoff	preTime	postTime	notes
B11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
C11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
D11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
E11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
F11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
G11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
H11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
A12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
B12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
C12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
D12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
E12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
F12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
G12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
H12	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
